R0001	100001|.44 Magnum.1	Provides only only maneuver each combat, even if the bearer changes. [LSJ 19980302-2]
R2180	200319|Danylo.1	Cannot fetch equipments that are locations while in play (locquipments). [LSJ 20080114] [ANK 20221210]
R2181	200327|De Sade.1	His ability applies only to the first time a vampire casts hist votes, not if they change afterwards (eg. {Kindred Manipulation}). [ANK 20221019]
R2182	200333|Demdemeh.1	The animal retainers turned into allies keep their current life counters and remember their original "starting life", for effects that notice "starting life". The retainers' special abilities are lost, as well as any continuous effect affecting them (eg. bonus from {Tainted Spring}). [LSJ 20051116-1] [LSJ 20081213-3]
R2183	200335|Democritus.1	Does not affect the cost to contest titles, since it is paid in vampire blood, not pool. [RTR 19950509]
R2184	200357|Dominique.1	If a location costs X blood, it would take X vandal counters to burn it. [LSJ 20001118]
R2185	200360|Don Caravelli.1	His ability to give a press can only be used during the press step. [PIB 20150121]
R2186	200363|Don Michael Antonio Giovanni.1	Keeps his title and votes if he changes sects. [LSJ 20010714]
R2187	200364|Dónal O'Connor.1	An empty blocking vampire may still block and will try and fail to burn a blood if the block is successful. [TOM 19951215-1]
R2188	200364|Dónal O'Connor.2	The blocking vampire burns 1 blood immediately upon successfully blocking Donal, regardless of whether combat begins. [RTR 19960530]
R2189	200365|Donald Cargill.1	His ability is applied after the referendum effects are applied, including any oust and pool gained from it. [LSJ 20090115-2]
R2190	200365|Donald Cargill.2	His ability is still applied if the predator is ousted by the referendum effects. [LSJ 20090115-2]
R2191	200381|Dr. Morrow, The Skindoctor.1	Multiple graft counters may be placed on the same minion, but they have no additional effect. A minion with one or more graft counters gets -1 stealth, not -X stealth. [LSJ 20070306]
R2192	200383|Dr. Solomon Grey.1	You burn one pool before he enters contest if there is another one in play. [LSJ 20080526]
R2193	200386|Dragos.1	If his opponent plays superior {Terror Frenzy}, Dragos does not burn one additional blood for combat card he plays (reversal of previous rulings). [LSJ 20090107]
R2194	200386|Dragos.2	A "burn blood" effect on a combat card is not a cost (eg. {Chiropteran Marauder}), it is unaffected by his ability. [LSJ 20090107] [LSJ 20070829-3]
R2195	200389|Drozodny.1	When using his ability, the card to retrieve must be announced when declaring the action. [LSJ 20010627]
R2196	200401|Edith Blount.1	Edith may burn a blood to give {Enid Blount} stealth multiple times each action. [LSJ 20040617]
R2197	200402|Edward Neally.1	Hand size can be increased more than once per turn (in case of multiple master phase actions). [LSJ 20020814]
R2198	200403|Edward Vignes.1	His ability cannot be used if the action is blocked. [LSJ 20041022]
R2199	200417|Ellison Humboldt.1	Can use his ability only once per referendum. [ANK 20180307-2] [RBK wording-templates]
R2200	200424|Enkidu, The Noah.1	He cannot attempt an action to equip nor strike to steal an equipment. [LSJ 20050315] [LSJ 20010210]
R2201	200424|Enkidu, The Noah.2	He can equip with an equipment that is a location when in play. [LSJ 20050315]
R2202	200427|Epikasta Rigatos.1	Can only retrieve a card played during that same action. [ANK 20180628]
R2203	200427|Epikasta Rigatos.2	Can only retrieve cards played the normal way, ie. not put into play as a result of another card (eg. {Concealed Weapon} or {Charming Lobby}). [LSJ 20090430] [ANK 20180628]
R2204	200434|Erlik.1	His "as he enters play" ability can be used before he enters contest (not after) if there is another one in play. [LSJ 20080526] [LSJ 20100902] [ANK 20180626-1]
R2205	200438|Ethan Locke.1	Ethan's action is directed at the controller of the skill card, not the controller of the vampire. [LSJ 19970224]
R2206	200438|Ethan Locke.2	When he steals a master Discipline card, his controller becomes the controller of the Discipline card. [LSJ 19990709]
R2207	200439|Étienne Fauberge.1	Allies have no blood, they cannot take directed actions against him, except if they are acting as a vampire. [LSJ 20030815]
R2208	200443|Eurayle Gelasia Mylonas.1	Her ability is undirect if you control the target, directed to the controller of the target otherwise. [PIB 20121210]
R2209	200448|Eze, The Demon Prince.1	His unlock ability is mandatory, it is applied even if the action unlocks him already. [LSJ 20051211]
R2210	200450|Ezmerelda.1	Keeps her title and votes if she changes sects. [LSJ 20010714]
R2211	200452|Fabrizia Contreraz.1	She only gets her votes if your prey controls a ready Camarilla vampire. [PIB 20150713]
R2212	200459|Fatima al-Faqadi.1	Can only use her ability when she is in combat herself. [ANK 20221021]
R2213	200485|Frondator.1	The cost to rescue from torpor is reduced even if paid by the rescuee. This is not optional. [LSJ 20020304-2] [PIB 20110918]
R2214	200498|Gem Ghastly.1	When playing a card requiring a Ventrue, she is treated as a such for all effects of the card, and only them, including duration effects. She is not treated as such for effects the card has from being in play. [ANK 20190228]
R2215	200498|Gem Ghastly.2	Her ability does not let her fulfill card requirements if they are not played normally, like when using {Piper} to recruit an ally. [LSJ 20050119]
R2216	200500|General Perfidio Díos.1	Can use his ability multiple times during the same action. [LSJ 20030605]
R2217	200501|Genevieve.1	Her votes and ballots must be cast on the same side (for or against). [RBK gaining-votes] [LSJ 20051113-2]
R2218	200503|Gengis.1	[MERGED] Is Anarch. If the base version was the one in play, it changes sect as it is merged. [ANK 20180524]
R2219	200504|Genina, The Red Poet.1	She cannot play {Lay Low}. [ANK 20220810]
R2220	200508|Gerald Windham.1	His ability gives him votes but no title. [ANK 20190725]
R2221	200528|Goratrix.1	Can steal 2 blood or life. [ANK 20190701]
R2222	200529|Goratrix.1	[MERGED] Is Camarilla. If the base version was the one in play, it changes sect as it is merged. If it had an anarch token, it is burned. [ANK 20180524]
R2223	200534|Gratiano.1	If {Fall of the Sabbat} is in play, Priscii do not benefit from their title and have no ballot. The Priscii subreferendum still happens and Gratiano benefits from his bonus ballot. [LSJ 20040519]
R2224	200534|Gratiano.2	His votes (if any) and ballots must be cast on the same side (for or against). [RBK gaining-votes] [LSJ 20051113-2]
R2225	200545|Guillaume Giovanni.1	His ability is not triggered when playing a Unique Location for contest. [LSJ 20080107]
R2226	200560|Hagar Stone.1	The "do not replace" effect stacks with whatever "do not replace" clause the card itself has, so that the longest one wins out. [LSJ 20070320-1]
R2227	200560|Hagar Stone.2	The "do not replace" effect effectively reduces the hand size: additional draws (eg. {Ashur Tablets}) require a discard. [ANK 20180318] [ANK 20231229]
R2228	200578|Hazimel.1	Keeps his title and votes if he changes sects. [LSJ 20010714]
R2229	200582|Hector Trelane.1	The opponent gains pool if he's burned because of a bloodhunt during combat (eg. after {Amaranth}). [LSJ 20091210]
R2230	200585|Helen Fairchild.1	She cannot attempt an action to equip nor strike to steal an equipment. [LSJ 20050315] [LSJ 20010210]
R2231	200585|Helen Fairchild.2	She can equip with an equipment that is a location when in play. [LSJ 20050315]
R2232	200587|Helena.1	[MERGED] Is Independent. If the base version was the one in play, it changes sect as it is merged. If it had an anarch token, it is burned. [ANK 20180524]
R2233	200587|Helena.2	[MERGED] Immune means damage is not inflicted, even if non-preventable or outside combat. [LSJ 20010627] [LSJ 20010629] [LSJ 20090304-1]
R2234	200590|Henry Taylor.1	A card with multiple types (eg. {Swallowed by the Night}) needs to have been played as a combat card to be eligible. [LSJ 20031221]
R2235	200592|Hermana Hambrienta Mayor.1	If influenced with more blood than her capacity, the blood drain off before her ability forces her to burn 2. [LSJ 20051126]
R2236	200592|Hermana Hambrienta Mayor.2	If she creates a vampire (eg. {The Embrace}), they are not Mexico Circle, they are each in their own individual circle of one. [LSJ 20091012] [LSJ 20020609]
R2237	200593|Hermana Hambrienta Menor.1	If influenced with more blood than her capacity, the blood drain off before her ability forces her to burn 2. [LSJ 20051126]
R2238	200593|Hermana Hambrienta Menor.2	If she creates a vampire (eg. {The Embrace}), they are not Mexico Circle, they are each in their own individual circle of one. [LSJ 20091012] [LSJ 20020609]
R2239	200604|Horatio Ballard.1	Cannot use his special ability to become a Prince if he has changed sect and is no longer Camarilla. [LSJ 20030202]
R2240	200606|Horrock.1	Card with disciplines choices (eg. [pro]/[obf]) are considered of the discipline they are played as. [PIB 20150924-2]
R2241	200607|Howler.1	She cannot attempt an action to equip a weapon nor strike to steal a weapon. [LSJ 20050315] [LSJ 20010210]
R2242	200608|Hrothulf.1	Only burns the Edge if the action is successful. [LSJ 20030519]
R2243	200612|Hukros.1	He can accumulate as many cards as he likes with his special, at the rate of one each unlock. [LSJ 20070320-2]
R2244	200616|Ian Forestal.1	His ability can be used to meet one (not both) of the normal Discipline requirements of a multi-Discipline card. [LSJ 20011217]
R2245	200625|Igo the Hungry.1	His ability only applies to the default rulebook hunt action (eg. he gets {Loki's Gift} +1 stealth). [PIB 20150820-2]
R2246	200630|Imanna.1	Keeps her title and votes if she changes sects. [LSJ 20010714]
R2247	200632|Inez "Nurse216" Villagrande.1	Her "as she enters play" ability can be used before she enters contest if there is another one in play. [LSJ 20080526]
R2248	200634|Ingrid Rossler.1	When she is influenced out, her bonus transfers do not apply for the ongoing influence phase. [RTR 20180303]
R2249	200649|Ivan Krenyenko.1	The reduction applies for other effects that check the "cost" of equipment on him. [RTR 19941109]
R2250	200665|Jaggedy Andy.1	If he goes to torpor and their controller cannot discard two cards, they discard as many as they can. [ANK 20211010]
R2251	200666|Jalal Sayad.1	If his ability is used to start a new combat, effects that end combat and then do something else after combat (include continuing the action as if unblocked) will be lost, except for unlock effects. [LSJ 19980109] [RTR 20020501]
R2252	200666|Jalal Sayad.2	His ability cannot be used to start a new combat if there is already a pending combat queued. [RTR 20020501]
R2253	200668|Jamal.1	Keeps his title and votes if he changes sects. [LSJ 20010714]
R2254	200670|Jan Pieterzoon.1	[MERGED] Is Independent. If the base version was the one in play, it changes sect as it is merged. If it had an anarch token, it is burned. [ANK 20180524]
R2255	200671|Jane Sims.1	Card with multiple types (eg. Combat/Action Modifier) are considered of the type they are played as, not both. [PIB 20150924-2]
R2256	200678|Jaroslav Pascek.1	When using the action provided by his ability, if some minions cannot be targeted because of another effect, the action will simply have no effect on the things it cannot target. [RTR 20080808]
R2257	200688|Jenna Cross.1	If a cost reduction applies (eg. {Salvador Garcia}), the controller can choose to apply it first so that her ability does not kick in. [ANK 20200709]
R2258	200703|Jibade el-Bahrawi.1	Gets +1 stealth when using {The Summoning} at superior [PRE]. [LSJ 20091207]
R2259	200705|Jimmy Dunn.1	Can be influenced out if you already control one. [RTR 20180303]
R2260	200705|Jimmy Dunn.2	If a second Jimmy Dunn is brought out during an action, and the first Jimmy (if he has Vicissitude) plays {Reform Body}, the first Jimmy will go to torpor (from Reform Body), but will then be burned anyhow, since he cannot be contested. [LSJ 19990719] [RTR 19991001]
